,NOM,ANNREF,FRANCE,FRDOM,REGION,DEP,N306,N306_MOD,N306_LIB,N027,N027_MOD,N027_LIB,VALEUR,QUALITE
0,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3,"Fourrages annuels, prairies non permanentes et STH",Groupe d'indicateurs,20.08,Production séche (volume),1723687.0,OUI
1,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3,"Fourrages annuels, prairies non permanentes et STH",Groupe d'indicateurs,50.07,Superficie concernée,31672.0,OUI
2,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3,"Fourrages annuels, prairies non permanentes et STH",Groupe d'indicateurs,70.02,Rendement matière sèche,54.42305506441021,OUI
3,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11,Fourrages annuels,Groupe d'indicateurs,20.08,Production séche (volume),0.0,OUI
4,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11,Fourrages annuels,Groupe d'indicateurs,50.07,Superficie concernée,0.0,OUI
5,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11.1,Maïs fourrage et ensilage (plante entière),Groupe d'indicateurs,20.08,Production séche (volume),0.0,OUI
6,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11.1,Maïs fourrage et ensilage (plante entière),Groupe d'indicateurs,50.07,Superficie concernée,0.0,OUI
7,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11.1.11,Maïs fourrage et ensilage (plante entière) irrigué,Groupe d'indicateurs,20.08,Production séche (volume),0.0,OUI
8,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11.1.11,Maïs fourrage et ensilage (plante entière) irrigué,Groupe d'indicateurs,50.07,Superficie concernée,0.0,OUI
9,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11.1.12,Maïs fourrage et ensilage (plante entière) non irrigué,Groupe d'indicateurs,20.08,Production séche (volume),0.0,OUI
10,SAANR_FOURRAGE_2,2012,FR,DOM,NR01,971,Cultures développées,3.11.1.12,Maïs fourrage et ensilage (plante entière) non irrigué,Groupe d'indicateurs,50.07,Superficie concernée,0.0,OUI
