;NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
890;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.11.9;Autres fourrages annuels, n.c.a.;Groupe d'indicateurs;20.08;Production séche (volume);32000.0;OUI
891;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.11.9;Autres fourrages annuels, n.c.a.;Groupe d'indicateurs;50.07;Superficie concernée;100.0;OUI
892;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.11.9;Autres fourrages annuels, n.c.a.;Groupe d'indicateurs;50.07;Superficie concernée;200.0;OUI
893;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.11.9;Autres fourrages annuels, n.c.a.;Groupe d'indicateurs;50.07;Superficie concernée;0.0;OUI
894;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.11.9;Autres fourrages annuels, n.c.a.;Groupe d'indicateurs;50.07;Superficie concernée;1735.0;OUI
895;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.11.9;Autres fourrages annuels, n.c.a.;Groupe d'indicateurs;50.07;Superficie concernée;1000.0;OUI
896;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;20.08;Production séche (volume);13108376.0;OUI
897;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;20.08;Production séche (volume);6456295.0;OUI
898;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;20.08;Production séche (volume);23886293.0;OUI
899;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;20.08;Production séche (volume);10639463.0;OUI
900;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;20.08;Production séche (volume);11316992.0;OUI
901;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;50.07;Superficie concernée;231768.0;OUI
902;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;50.07;Superficie concernée;96588.0;OUI
903;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;50.07;Superficie concernée;309411.0;OUI
904;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;50.07;Superficie concernée;242028.0;OUI
905;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;50.07;Superficie concernée;154523.0;OUI
906;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;70.02;Rendement matière sèche;56.6;OUI
907;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;70.02;Rendement matière sèche;66.8;OUI
908;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;70.02;Rendement matière sèche;77.2;OUI
909;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;70.02;Rendement matière sèche;44.0;OUI
910;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12;Prairies non permanentes et STH;Groupe d'indicateurs;70.02;Rendement matière sèche;73.2;OUI
911;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;20.08;Production séche (volume);1328718.0;OUI
912;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;20.08;Production séche (volume);925175.0;OUI
913;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;20.08;Production séche (volume);4495380.0;OUI
914;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;20.08;Production séche (volume);1569825.0;OUI
915;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;20.08;Production séche (volume);1145300.0;OUI
916;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;50.07;Superficie concernée;19149.0;OUI
917;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;50.07;Superficie concernée;9995.0;OUI
918;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;50.07;Superficie concernée;54258.0;OUI
919;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;50.07;Superficie concernée;24652.0;OUI
920;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;50.07;Superficie concernée;11544.0;OUI
921;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;70.02;Rendement matière sèche;69.4;OUI
922;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;70.02;Rendement matière sèche;92.6;OUI
923;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;70.02;Rendement matière sèche;82.9;OUI
924;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;70.02;Rendement matière sèche;63.7;OUI
925;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12.1;Prairies non permanentes;Groupe d'indicateurs;70.02;Rendement matière sèche;99.2;OUI
926;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;20.08;Production séche (volume);112674.0;OUI
927;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;20.08;Production séche (volume);432600.0;OUI
928;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;20.08;Production séche (volume);186608.0;OUI
929;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;20.08;Production séche (volume);176499.0;OUI
930;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;20.08;Production séche (volume);55900.0;OUI
931;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;50.07;Superficie concernée;1266.0;OUI
932;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;50.07;Superficie concernée;4200.0;OUI
933;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;50.07;Superficie concernée;1712.0;OUI
934;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;50.07;Superficie concernée;2179.0;OUI
935;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;76;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;50.07;Superficie concernée;650.0;OUI
936;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;14;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;70.02;Rendement matière sèche;89.0;OUI
937;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;27;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;70.02;Rendement matière sèche;103.0;OUI
938;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;50;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;70.02;Rendement matière sèche;109.0;OUI
939;SAANR_FOURRAGE_2;2003;FR;METRO;NR28;61;Cultures développées;3.12.1.11;Prairie artificielle (luzerne, trèfle violet, ...);Groupe d'indicateurs;70.02;Rendement matière sèche;81.0;OUI
